alpha,delta,id,diameter
265.21250000000003,-19.724999999999998,LDN223 / CB93 / P28,2.0
272.52916666666664,-23.683333333333334,B91,5.0
265.3458333333333,-19.79416666666667,LDN222 / CB94 / P27,2.0
272.50833333333327,-23.65611111111111,LDN227,13.0
263.2291666666667,-18.534444444444446,LDN225,18.0
265.1833333333333,-19.66444444444444,LDN226 / CB92 / P29,4.5
272.25833333333327,-23.4575,LDN230,3.0
265.21666666666664,-19.625,LDN228 / P30,2.5
266.75416666666666,-20.508055555555554,CB98,3.5
265.1166666666667,-19.57138888888889,LDN231 / P32,1.0
265.0958333333333,-19.54638888888889,LDN229 / P31,2.0
271.2541666666666,-22.828888888888887,LDN232,17.6
266.5916666666666,-20.18888888888889,B84,25.0
266.6958333333333,-20.276944444444442,CB97,7.0
266.7625,-20.29527777777778,CB99,2.0
276.5208333333333,-25.303333333333335,LDN236,10.0
266.5583333333333,-20.16861111111111,LDN235 / P34,13.0
270.24999999999994,-22.16722222222222,LDN237 / FeSt1-481,43.0
266.3374999999999,-20.00861111111111,B83a / LDN233 / CB95 / P33,4.0
252.19166666666666,-11.086666666666668,LDN234,71.0
252.0375,-10.956944444444444,LM208 / LDN234E1,11.0
266.5958333333333,-20.100555555555555,CB96,2.0
278.32916666666665,-26.028333333333332,B98 / LDN239 / FeSt2-328 / CB148 / P35 / LM277,5.0
248.92916666666665,-8.768055555555556,LDN238,14.0
273.25833333333327,-23.61916666666667,FeSt2-329,6.0
252.0375,-10.864444444444445,LM209 / LDN234E2,11.0
279.275,-26.37361111111111,LDN240,9.0
273.45833333333326,-23.634999999999998,FeSt1-482,24.0
273.0333333333333,-23.40361111111111,LDN242,6.0
272.8833333333333,-23.32111111111111,LDN241,9.0
252.14583333333331,-10.849444444444446,LM212 / LDN234E3,3.5
272.8333333333333,-23.27138888888889,FeSt1-483,77.0
273.00833333333327,-23.320555555555554,LDN243,43.0
252.94166666666666,-11.249722222222221,LDN244,18.0
277.7708333333333,-25.464166666666667,LDN245,40.0
266.23749999999995,-19.52,LDN246,190.0
276.0166666666666,-24.555833333333332,LDN247,11.0
279.2208333333333,-25.990555555555556,FeSt1-484,66.0
279.0208333333333,-25.79138888888889,LDN248,14.0
272.60416666666663,-22.739722222222223,CB113,12.0
239.9208333333333,-1.6908333333333334,MBM38,30.0
272.87916666666666,-22.77111111111111,FeSt1-485,34.0
275.8374999999999,-24.14,LDN250,3.0
272.50416666666666,-22.489444444444445,LDN249,26.0
277.26666666666665,-24.799722222222226,LDN251,26.0
273.0874999999999,-22.75611111111111,CB116,3.5
323.1,-35.85666666666667,HMSTG8.4-47.1,6.0
275.7833333333333,-24.016666666666666,B309 / LDN252 / FeSt2-330,5.0
280.0208333333333,-25.953333333333333,LDN253,50.0
273.0583333333333,-22.672222222222224,CB114,3.5
252.06666666666666,-10.066944444444443,LM210 / LDN255-2,5.0
267.48749999999995,-19.680555555555557,LDN254,29.0
273.75833333333327,-22.983333333333334,LDN256,37.0
251.94583333333335,-9.912777777777778,LDN255 / P36 / LM207 / LDN255-1,7.0
272.75416666666666,-22.404999999999998,LDN257,16.0
266.2333333333333,-18.853333333333335,LDN258,26.0
240.04166666666663,-1.4455555555555555,CB64,4.5
276.2625,-23.988055555555558,LDN259,9.0
251.82083333333335,-9.6175,LDN260,16.0
251.82083333333335,-9.587777777777779,MLB59 / P37 / LM203,7.5
263.97499999999997,-17.1975,LDN261,31.0
279.01666666666665,-24.958055555555553,LDN263,94.0
270.775,-20.86888888888889,LDN262 / CB108 / P38,9.0
322.3583333333333,-35.40888888888889,HMSTG9.0-46.5,8.0
277.13749999999993,-24.000555555555554,FeSt2-331,6.0
267.2333333333333,-18.848333333333333,LDN264,23.0
303.4916666666666,-32.83444444444444,IREC7 / DIR009-30,100.0
274.25416666666666,-22.481111111111108,LDN265,35.0
277.76249999999993,-24.130833333333335,LDN266,39.0
275.8833333333333,-23.139722222222222,LDN267 / LDN268,4.0
277.3875,-23.799166666666668,LDN269,12.0
272.74583333333334,-21.321666666666665,LDN271,8.0
267.2291666666667,-18.348333333333333,LDN270,40.0
274.5,-22.14638888888889,LDN272,16.0
274.7833333333333,-22.233333333333334,B308,8.0
266.1,-17.60388888888889,LDN273,5.0
272.3208333333333,-20.956944444444442,LDN274,9.0
272.99583333333334,-21.18722222222222,LDN275,2.0
265.97499999999997,-17.354444444444447,LDN276,12.0
266.34999999999997,-17.48611111111111,LDN277,4.0
300.6125,-31.526666666666667,MBM45,60.0
268.2333333333333,-18.510277777777777,LDN279,41.0
254.68749999999994,-10.241666666666665,LDN278,64.0
271.2416666666666,-19.995555555555555,LDN281,68.0
282.94166666666666,-25.522777777777776,FeSt1-486,26.0
273.24583333333334,-20.985833333333336,LDN282,14.0
254.68749999999994,-10.075,LDN280,30.0
216.11249999999998,15.862499999999999,IREC8,89.0
264.7166666666666,-16.02722222222222,LDN283,131.0
279.00833333333327,-23.458055555555553,LDN284,27.0
270.4833333333333,-19.16583333333333,LDN286,20.0
268.9791666666667,-18.34,LDN285,28.0
322.57499999999993,-34.458333333333336,HMSTG10.4-46.6,12.0
269.4833333333333,-18.504166666666666,LDN288,13.0
260.70416666666665,-13.379722222222222,LDN287,24.0
323.175,-34.43138888888889,HMSTG10.5-47.1,3.0
270.2333333333333,-18.833888888888886,LDN289,10.0
265.7166666666666,-16.022499999999997,LDN290,69.0
274.99583333333334,-20.9775,LDN291,31.0
269.4291666666666,-18.004444444444445,LDN292,13.0
269.47916666666663,-18.004166666666666,LDN293,85.0
278.0,-22.296111111111113,LDN294,3.0
278.2,-22.345277777777778,LDN295,3.0
270.99999999999994,-18.733333333333334,B297,75.0
281.7583333333333,-23.945,LDN297,25.0
278.125,-22.295555555555556,LDN296,3.0
269.72916666666663,-18.003055555555555,LDN298,20.0
255.18333333333328,-9.239444444444443,LDN299,27.0
282.7625,-24.27361111111111,LDN300,37.0
278.8541666666666,-22.492222222222225,LDN301,8.0
269.3791666666666,-17.67138888888889,B84a / LDN302,14.0
271.9833333333333,-18.991944444444446,LDN303,255.0
282.4333333333333,-23.808333333333334,FeSt1-487 / IREC9,80.0
275.8833333333333,-20.760555555555555,LDN306 / CB135,8.0
278.74999999999994,-22.12611111111111,LDN304,9.0
241.48749999999995,0.33249999999999996,MBM39,30.0
271.5208333333333,-18.452777777777776,LDN307 / CB110 / P39,6.0
272.2083333333333,-18.7,B301,30.0
277.74583333333334,-21.464166666666667,LDN309,7.0
271.6333333333333,-18.352222222222224,LDN308 / P40,2.0
267.5916666666666,-16.138333333333332,LDN305 / LDN312,110.0
271.8083333333333,-18.354166666666668,LDN310 / CB111 / P41,4.5
282.3833333333333,-23.441944444444445,LDN311 / FeSt1-488,28.0
278.3708333333333,-21.544444444444448,B99 / LDN313,11.0
275.23749999999995,-19.97611111111111,LDN314,114.0
274.4875,-19.479999999999997,LDN315,147.0
281.1791666666667,-22.614444444444445,LDN316,20.0
273.24999999999994,-18.716666666666665,B304,30.0
255.17499999999998,-8.072777777777777,LDN317 / IREC10,80.0
269.9708333333333,-16.834999999999997,LDN318,6.0
270.4708333333333,-16.83277777777778,LDN319,12.0
269.9708333333333,-16.501666666666665,LDN320,72.0
282.5291666666666,-22.691388888888888,FeSt1-489,10.0
282.5791666666666,-22.641111111111112,LDN321,10.0
274.9833333333333,-18.9775,LDN322,68.0
238.03749999999997,3.7775,IREC11,69.0
273.90416666666664,-18.199444444444445,B92 / LDN323 / CB125 / P42 / LM253,12.0
238.95416666666662,3.3508333333333336,DIR013+40 / HMT18,180.0
